conversation_id,title,create_time_utc,update_time_utc,create_time_epoch,update_time_epoch,tags,status
,RSMods not working right. Some mods like alt-tab are okay but ...,2025-07-04T23:17:50.907000+00:00,,1751671070.907,,['tab'],active
,Guitar product website plan,2025-11-14T05:59:07.657912+00:00,2025-11-15T11:21:49.775434+00:00,1763099947.657912,1763205709.775434,[],active
,Guitar education game design,2025-12-19T00:06:29.125704+00:00,2025-12-20T17:49:50.774112+00:00,1766102789.125704,1766252990.774112,[],active
,Guitar Learning Game Requirements,2025-12-24T19:28:15.844208+00:00,2025-12-24T20:32:40.025292+00:00,1766604495.844208,1766608360.025292,[],active
,"Guitar Learning Game Design - Layout HTML, CSS, JAVA",2025-12-24T20:04:43.345861+00:00,2025-12-25T19:41:06.175927+00:00,1766606683.345861,1766691666.175927,[],active
,AI SUMMARY - Guitar Game,2025-12-24T22:26:30.092500+00:00,2025-12-25T01:12:04.599355+00:00,1766615190.0925,1766625124.599355,[],active
,Menu Tab Names,2025-12-25T01:23:53.727311+00:00,2025-12-25T23:23:53.254439+00:00,1766625833.727311,1766705033.254439,"['menus', 'tab']",active
,Guitar Learning Game Summary,2025-12-26T23:33:54.768785+00:00,2025-12-27T01:03:09.154502+00:00,1766792034.768785,1766797389.154502,[],active
,Rendered Staff+Tab Implementation,2025-12-27T22:07:10.738927+00:00,2026-01-01T01:41:19.841183+00:00,1766873230.738927,1767231679.841183,"['staff', 'tab']",active
,Guitar-Edu-UI Audit,2026-01-11T21:58:25.054900+00:00,2026-01-12T09:31:22.134421+00:00,1768168705.0549,1768210282.134421,['audit'],active
,Guitar Learning Game Menu,2026-01-13T04:24:44.213527+00:00,2026-01-13T07:49:05.165055+00:00,1768278284.213527,1768290545.165055,['menus'],active
,Guitar Education Game Audit,2026-01-15T04:37:14.004910+00:00,2026-01-15T08:15:10.240343+00:00,1768451834.00491,1768464910.240343,['audit'],active
,Guitar Edu Game Setup,2026-01-16T10:10:21.760348+00:00,2026-01-17T02:22:17.390441+00:00,1768558221.760348,1768616537.390441,[],active
,GEG-016 Execution Phase,2026-01-17T10:35:53.279860+00:00,2026-01-18T08:56:32.935468+00:00,1768646153.27986,1768726592.935468,['phases'],active
,Next Step Stabilization,2026-01-18T08:56:43.533859+00:00,2026-01-19T03:16:50.280396+00:00,1768726603.533859,1768792610.280396,['tab'],active
,Guitar Game Conversation JSON,2026-01-18T09:23:36.344625+00:00,2026-01-18T09:28:06.741541+00:00,1768728216.344625,1768728486.741541,[],active
,Chord Entry Ergonomics v2,2026-01-19T03:17:04.026239+00:00,2026-01-19T22:42:41.495942+00:00,1768792624.026239,1768862561.495942,['chords'],active
,GEG-016 Execution Phase,2026-01-20T20:26:34.659733+00:00,,1768940794.659733,,['phases'],active
,Next Step Stabilization,2026-01-20T20:26:34.659733+00:00,,1768940794.659733,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:27:02.935980+00:00,,1768940822.93598,,['phases'],active
,Next Step Stabilization,2026-01-20T20:27:02.935980+00:00,,1768940822.93598,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:27:18.947321+00:00,,1768940838.947321,,['phases'],active
,Next Step Stabilization,2026-01-20T20:27:18.947321+00:00,,1768940838.947321,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:27:38.761222+00:00,,1768940858.761222,,['phases'],active
,Next Step Stabilization,2026-01-20T20:27:38.761222+00:00,,1768940858.761222,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:27:47.800095+00:00,,1768940867.800095,,['phases'],active
,Next Step Stabilization,2026-01-20T20:27:47.800095+00:00,,1768940867.800095,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:27:55.880184+00:00,,1768940875.880184,,['phases'],active
,Next Step Stabilization,2026-01-20T20:27:55.880184+00:00,,1768940875.880184,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:28:01.190267+00:00,,1768940881.190267,,['phases'],active
,Next Step Stabilization,2026-01-20T20:28:01.190267+00:00,,1768940881.190267,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:28:10.642558+00:00,,1768940890.642558,,['phases'],active
,Next Step Stabilization,2026-01-20T20:28:10.642558+00:00,,1768940890.642558,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:28:19.205490+00:00,,1768940899.20549,,['phases'],active
,Next Step Stabilization,2026-01-20T20:28:19.205490+00:00,,1768940899.20549,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:28:26.674820+00:00,,1768940906.67482,,['phases'],active
,Next Step Stabilization,2026-01-20T20:28:26.674820+00:00,,1768940906.67482,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:28:33.279551+00:00,,1768940913.279551,,['phases'],active
,Next Step Stabilization,2026-01-20T20:28:33.279551+00:00,,1768940913.279551,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:29:15.648666+00:00,,1768940955.648666,,['phases'],active
,Next Step Stabilization,2026-01-20T20:29:15.648666+00:00,,1768940955.648666,,['tab'],active
,GEG-016 Execution Phase,2026-01-20T20:29:22.726393+00:00,,1768940962.726393,,['phases'],active
